time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1684	1.36793	5.2099	0.240408	0.207754	radar	4.57919	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3967	1.44488	5.18781	0.259023	0.218448	lidar	1.14134	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6335	1.53406	5.14668	0.284482	0.241219	radar	4.47836	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8645	1.56256	5.12135	0.2769	0.217412	lidar	1.63584	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1273	1.6152	5.13819	0.276988	0.20304	radar	1.75571	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4054	1.65587	5.16235	0.2697	0.180725	lidar	1.8535	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6397	1.71672	5.13305	0.277354	0.1811	radar	1.19178	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8728	1.77846	5.11729	0.283404	0.177716	lidar	0.508283	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1246	1.86734	5.14073	0.297776	0.182613	radar	1.10971	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3696	1.89349	5.12584	0.283765	0.154213	lidar	0.881201	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6228	1.95274	5.14293	0.282939	0.14161	radar	0.91565	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8245	2.08621	5.11744	0.323232	0.183094	lidar	3.44425	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0848	2.18852	5.16409	0.336246	0.183413	radar	3.49941	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2883	2.32921	5.14324	0.375248	0.22054	lidar	2.60239	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4747	2.47979	5.0856	0.423119	0.272892	radar	11.048	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7219	2.59192	5.10406	0.437235	0.273002	lidar	0.719229	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9425	2.70739	5.09122	0.456422	0.281804	radar	0.283332	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1691	2.85793	5.10598	0.486908	0.301331	lidar	0.527555	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4156	2.96186	5.13693	0.485897	0.275048	radar	1.49371	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6253	3.0375	5.10053	0.482703	0.25573	lidar	2.32581	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8532	3.18448	5.13042	0.503162	0.259933	radar	3.90261	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0572	3.37509	5.14487	0.547732	0.297641	lidar	1.22367	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2685	3.53999	5.1452	0.579203	0.321096	radar	2.48603	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.479	3.72556	5.16565	0.613838	0.34272	lidar	0.759844	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6919	3.85878	5.15926	0.623077	0.333261	radar	0.931986	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9125	4.00255	5.16553	0.63363	0.325686	lidar	0.224687	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1094	4.16943	5.14912	0.663208	0.349865	radar	1.76246	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3056	4.36269	5.16593	0.694735	0.365921	lidar	0.446083	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5154	4.52405	5.17591	0.706492	0.356167	radar	0.663438	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6946	4.69548	5.16419	0.728886	0.362137	lidar	0.449175	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8484	4.9004	5.12784	0.781916	0.422934	radar	4.83161	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.013	5.12183	5.14409	0.821042	0.443488	lidar	0.533527	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1823	5.30048	5.12662	0.844136	0.450406	radar	1.85909	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3442	5.4823	5.11344	0.864402	0.448444	lidar	0.269276	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4988	5.66416	5.08748	0.890149	0.460832	radar	3.52965	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6968	5.79026	5.05647	0.877863	0.421209	lidar	2.26281	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8362	5.99981	5.041	0.917796	0.455397	radar	1.40973	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0138	6.18271	5.04307	0.926574	0.438952	lidar	0.715493	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
